ticker,exchange,sector,industry,state_val,city,lat,lon,rpt_year,revenue_scaled,income_tax_scaled,net_income_scaled,market_cap,median_hh_income
ALL,NYSE,Financials,Property & Casualty Insurance,IL,Northbrook,42.108532,-87.8764,2017,39407000000,802000000,3169000000,38533280000,64609
ALL,NYSE,Financials,Property & Casualty Insurance,IL,Northbrook,42.108532,-87.8764,2018,39815000000,468000000,2154000000,29168390000,70145
ALL,NYSE,Financials,Property & Casualty Insurance,IL,Northbrook,42.108532,-87.8764,2019,44675000000,1242000000,4841000000,37558300000,65886
ALXN,NASDAQ,Health Care,Biotechnology,MA,Boston,42.350197,-71.04221,2015,2486000000,354000000,144000000,41202000000,67861
ALXN,NASDAQ,Health Care,Biotechnology,MA,Boston,42.350197,-71.04221,2016,3011000000,177000000,399000000,27773450000,72266
ALXN,NASDAQ,Health Care,Biotechnology,MA,Boston,42.350197,-71.04221,2017,3522000000,105000000,443000000,26907750000,73227
ALXN,NASDAQ,Health Care,Biotechnology,MA,Boston,42.350197,-71.04221,2018,4133000000,165000000,78000000,21906000000,86345
ALXN,NASDAQ,Health Care,Biotechnology,MA,Boston,42.350197,-71.04221,2019,4954000000,-226000000,2404000000,24333750000,81215
AMAT,NASDAQ,Information Technology,Semiconductor Equipment,CA,Santa Clara,37.3544,-121.9692,2016,10825000000,292000000,1721000000,36013320000,66637
AMAT,NASDAQ,Information Technology,Semiconductor Equipment,CA,Santa Clara,37.3544,-121.9692,2017,14537000000,297000000,3434000000,55414080000,69759
AMAT,NASDAQ,Information Technology,Semiconductor Equipment,CA,Santa Clara,37.3544,-121.9692,2018,16705000000,1358000000,3038000000,33591240000,70489
AMAT,NASDAQ,Information Technology,Semiconductor Equipment,CA,Santa Clara,37.3544,-121.9692,2019,14608000000,563000000,2706000000,57682800000,75235
AMAT,NASDAQ,Information Technology,Semiconductor Equipment,CA,Santa Clara,37.3544,-121.9692,2020,17200000000,547000000,3619000000,78759590000,0
AMD,NASDAQ,Information Technology,Semiconductors,CA,Santa Clara,37.382294,-121.97213,2015,3991000000,14000000,-660000000,2247210000,63636
AMD,NASDAQ,Information Technology,Semiconductors,CA,Santa Clara,37.382294,-121.97213,2016,4272000000,39000000,-497000000,9468900000,66637
AMD,NASDAQ,Information Technology,Semiconductors,CA,Santa Clara,37.382294,-121.97213,2017,5253000000,18000000,-33000000,9786560000,69759
AMD,NASDAQ,Information Technology,Semiconductors,CA,Santa Clara,37.382294,-121.97213,2018,6475000000,-9000000,337000000,19641440000,70489
AMD,NASDAQ,Information Technology,Semiconductors,CA,Santa Clara,37.382294,-121.97213,2019,6731000000,31000000,341000000,51363200000,75235
AME,NYSE,Industrials,Electrical Components & Equipment,PA,Berwyn,40.06225,-75.462364,2015,3974000000,216000000,591000000,12968780000,60389
AME,NYSE,Industrials,Electrical Components & Equipment,PA,Berwyn,40.06225,-75.462364,2016,3840000000,181000000,512000000,11372400000,60979
AME,NYSE,Industrials,Electrical Components & Equipment,PA,Berwyn,40.06225,-75.462364,2017,4300000000,115000000,681000000,16813040000,63173
AME,NYSE,Industrials,Electrical Components & Equipment,PA,Berwyn,40.06225,-75.462364,2018,4846000000,210000000,778000000,15774100000,64524
AME,NYSE,Industrials,Electrical Components & Equipment,PA,Berwyn,40.06225,-75.462364,2019,5159000000,208000000,861000000,22840460000,61744
AMGN,NASDAQ,Health Care,Biotechnology,CA,Thousand Oaks,34.1894,-118.875,2015,21336000000,1039000000,6939000000,124345000000,63636
AMGN,NASDAQ,Health Care,Biotechnology,CA,Thousand Oaks,34.1894,-118.875,2016,22683000000,1441000000,7722000000,110242000000,66637
AMGN,NASDAQ,Health Care,Biotechnology,CA,Thousand Oaks,34.1894,-118.875,2017,22784000000,7618000000,1979000000,127817000000,69759
AMGN,NASDAQ,Health Care,Biotechnology,CA,Thousand Oaks,34.1894,-118.875,2018,23768000000,1151000000,8394000000,129456000000,70489
AMGN,NASDAQ,Health Care,Biotechnology,CA,Thousand Oaks,34.1894,-118.875,2019,23261000000,1296000000,7842000000,146812000000,75235
AMP,NYSE,Financials,Asset Management & Custody Banks,MN,Minneapolis,44.9833,-93.2667,2015,11608000000,455000000,1562000000,19581280000,68730
AMP,NYSE,Financials,Asset Management & Custody Banks,MN,Minneapolis,44.9833,-93.2667,2016,11201000000,278000000,1314000000,18637920000,70218
AMP,NYSE,Financials,Asset Management & Custody Banks,MN,Minneapolis,44.9833,-93.2667,2017,11868000000,734000000,1480000000,26606790000,71920
AMP,NYSE,Financials,Asset Management & Custody Banks,MN,Minneapolis,44.9833,-93.2667,2018,12594000000,386000000,2098000000,15446760000,71817
AMP,NYSE,Financials,Asset Management & Custody Banks,MN,Minneapolis,44.9833,-93.2667,2019,14440000000,339000000,1893000000,22654880000,71306
AMT,NYSE,Real Estate,Specialized REITs,MA,Boston,42.34642,-71.080246,2015,4772000000,158000000,685000000,41009850000,67861
AMT,NYSE,Real Estate,Specialized REITs,MA,Boston,42.34642,-71.080246,2016,5786000000,156000000,956000000,45336720000,72266
AMT,NYSE,Real Estate,Specialized REITs,MA,Boston,42.34642,-71.080246,2017,6664000000,31000000,1239000000,61633440000,73227
AMT,NYSE,Real Estate,Specialized REITs,MA,Boston,42.34642,-71.080246,2018,7440000000,-110000000,1236000000,70078170000,86345
AMT,NYSE,Real Estate,Specialized REITs,MA,Boston,42.34642,-71.080246,2019,7580000000,0,1888000000,102500000000,81215
AMZN,NASDAQ,Consumer Discretionary,Internet & Direct Marketing Retail,WA,Seattle,47.622227,-122.33714,2015,107006000000,950000000,596000000,322400000000,67243
AMZN,NASDAQ,Consumer Discretionary,Internet & Direct Marketing Retail,WA,Seattle,47.622227,-122.33714,2016,135987000000,1425000000,2371000000,362937000000,70310
AMZN,NASDAQ,Consumer Discretionary,Internet & Direct Marketing Retail,WA,Seattle,47.622227,-122.33714,2017,177866000000,769000000,3033000000,576549000000,75418
AMZN,NASDAQ,Consumer Discretionary,Internet & Direct Marketing Retail,WA,Seattle,47.622227,-122.33714,2018,232887000000,1197000000,10073000000,750985000000,79726
AMZN,NASDAQ,Consumer Discretionary,Internet & Direct Marketing Retail,WA,Seattle,47.622227,-122.33714,2019,280522000000,2374000000,11588000000,931311000000,73775
ANET,NYSE,Information Technology,Communications Equipment,CA,Santa Clara,37.3544,-121.9692,2015,838000000,25000000,119000000,5526640000,63636
ANET,NYSE,Information Technology,Communications Equipment,CA,Santa Clara,37.3544,-121.9692,2016,1129000000,58000000,183000000,7064210000,66637
ANET,NYSE,Information Technology,Communications Equipment,CA,Santa Clara,37.3544,-121.9692,2017,1646000000,52000000,422000000,18610820000,69759
ANET,NYSE,Information Technology,Communications Equipment,CA,Santa Clara,37.3544,-121.9692,2018,2151000000,-39000000,328000000,17066700000,70489
ANET,NYSE,Information Technology,Communications Equipment,CA,Santa Clara,37.3544,-121.9692,2019,2411000000,2000000,859000000,16475400000,75235
ANSS,NASDAQ,Information Technology,Application Software,PA,Canonsburg,40.2627,-80.1877,2015,943000000,104000000,253000000,8510000000,60389
ANSS,NASDAQ,Information Technology,Application Software,PA,Canonsburg,40.2627,-80.1877,2016,988000000,115000000,266000000,8231610000,60979
ANSS,NASDAQ,Information Technology,Application Software,PA,Canonsburg,40.2627,-80.1877,2017,1095000000,136000000,259000000,12840330000,63173
ANSS,NASDAQ,Information Technology,Application Software,PA,Canonsburg,40.2627,-80.1877,2018,1294000000,68000000,419000000,12292840000,64524
ANSS,NASDAQ,Information Technology,Application Software,PA,Canonsburg,40.2627,-80.1877,2019,1516000000,71000000,451000000,22137260000,61744
ANTM,NYSE,Health Care,Managed Health Care,IN,Indianapolis,39.763603,-86.152115,2015,79240000000,2071000000,2560000000,38067120000,51983
ANTM,NYSE,Health Care,Managed Health Care,IN,Indianapolis,39.763603,-86.152115,2016,84978000000,2086000000,2470000000,38530360000,56094
ANTM,NYSE,Health Care,Managed Health Care,IN,Indianapolis,39.763603,-86.152115,2017,90039000000,121000000,3843000000,60302680000,58873
ANTM,NYSE,Health Care,Managed Health Care,IN,Indianapolis,39.763603,-86.152115,2018,92105000000,1318000000,3750000000,69334320000,59892
ANTM,NYSE,Health Care,Managed Health Care,IN,Indianapolis,39.763603,-86.152115,2019,104213000000,1178000000,4807000000,78527800000,56303
AOS,NYSE,Industrials,Building Products,WI,Milwaukee,43.15082,-88.05325,2015,2537000000,120000000,283000000,6856595000,55425
AOS,NYSE,Industrials,Building Products,WI,Milwaukee,43.15082,-88.05325,2016,2686000000,136000000,327000000,8380950000,59817
AOS,NYSE,Industrials,Building Products,WI,Milwaukee,43.15082,-88.05325,2017,2997000000,224000000,297000000,10724000000,63451
AOS,NYSE,Industrials,Building Products,WI,Milwaukee,43.15082,-88.05325,2018,3188000000,114000000,444000000,7344400000,62629
AOS,NYSE,Industrials,Building Products,WI,Milwaukee,43.15082,-88.05325,2019,2993000000,102000000,370000000,7955880000,61747
APA,NASDAQ,Energy,Oil & Gas Exploration & Production,TX,Houston,29.744884,-95.46108,2015,6510000000,-1010000000,-10844000000,16809660000,56473
APA,NASDAQ,Energy,Oil & Gas Exploration & Production,TX,Houston,29.744884,-95.46108,2016,5367000000,-442000000,-1372000000,24055130000,58146
APA,NASDAQ,Energy,Oil & Gas Exploration & Production,TX,Houston,29.744884,-95.46108,2017,5887000000,-585000000,1304000000,16170260000,59295
APA,NASDAQ,Energy,Oil & Gas Exploration & Production,TX,Houston,29.744884,-95.46108,2018,7348000000,672000000,40000000,10080000000,59785
APA,NASDAQ,Energy,Oil & Gas Exploration & Production,TX,Houston,29.744884,-95.46108,2019,6315000000,674000000,-3553000000,9647430000,61874
APD,NYSE,Materials,Industrial Gases,PA,Allentown,40.6028,-75.4698,2016,7504000000,433000000,1100000000,31352760000,60979
APD,NYSE,Materials,Industrial Gases,PA,Allentown,40.6028,-75.4698,2017,8188000000,261000000,1134000000,36097600000,63173
APD,NYSE,Materials,Industrial Gases,PA,Allentown,40.6028,-75.4698,2018,8930000000,524000000,1456000000,35371050000,64524
APD,NYSE,Materials,Industrial Gases,PA,Allentown,40.6028,-75.4698,2019,8919000000,480000000,1760000000,52167780000,61744
APD,NYSE,Materials,Industrial Gases,PA,Allentown,40.6028,-75.4698,2020,8856000000,478000000,1901000000,59573700000,0
APH,NYSE,Information Technology,Electronic Components,CT,Wallingford,41.46122,-72.83315,2015,5569000000,281000000,764000000,16556910000,72889
